Common Name,Scientific Name
,
Virginia threeseed mercury,Acalypha virginica L.
red maple,Acer rubrum L.
American hornbeam,Carpinus caroliniana Walt.
starved panicgrass,Dichanthelium depauperatum (Muhl.)Gould
intermediate woodfern,Dryopteris intermedia (Muhl.exWilld.)Gray
prairie fleabane,Erigeron strigosus Muhl.exWilld.
Virginia creeper,Parthenocissus quinquefolia (L.)Planch.
black cherry,Prunus serotina Ehrh.
roundleaf greenbrier,Smilax rotundifolia L.
blackhaw,Viburnum prunifolium L.
sweetgum,Liquidambar styraciflua L.
American chestnut,Castanea dentata (Marsh.)Borkh.
white wood aster,Eurybia divaricata (L.)Nesom
cinnamon fern,Osmunda cinnamomea L.
red chokeberry,Photinia pyrifolia (Lam.)Robertson&Phipps
northern red oak,Quercus rubra L.
flameleaf sumac,Rhus copallinum L.
mapleleaf viburnum,Viburnum acerifolium L.
nimblewill,Muhlenbergia schreberi J.F.Gmel.
sweetflag,Acorus americanus (Raf.)Raf.
northern water plantain,Alisma triviale Pursh
smooth rockcress,Arabis laevigata (Muhl.exWilld.)Poir.
wild sarsaparilla,Aralia nudicaulis L.
butterfly milkweed,Asclepias tuberosa L.
common ladyfern,Athyrium filix-femina (L.)Roth
smooth yellow false foxglove,Aureolaria flava (L.)Farw.
devil's beggartick,Bidens frondosa L.
parasol sedge,Carex umbellata SchkuhrexWilld.
pignut hickory,Carya glabra (P.Mill.)Sweet
common buttonbush,Cephalanthus occidentalis L.
white turtlehead,Chelone glabra L.
striped prince's pine,Chimaphila maculata (L.)Pursh
scaldweed,Cuscuta gronovii Willd.exJ.A.Schultes
strawcolored flatsedge,Cyperus strigosus L.
nakedflower ticktrefoil,Desmodium nudiflorum (L.)DC.
prostrate ticktrefoil,Desmodium rotundifolium DC.
marginal woodfern,Dryopteris marginalis (L.)Gray
American burnweed,Erechtites hieraciifolius (L.) Raf. ex DC.
trumpetweed,Eupatorium fistulosum Barratt
red fescue,Festuca rubra L.
Virginia strawberry,Fragaria virginiana Duchesne
licorice bedstraw,Galium circaezans Michx.
fragrant bedstraw,Galium triflorum Michx.
cream avens,Geum virginianum L.
American witchhazel,Hamamelis virginiana L.
eastern redcedar,Juniperus virginiana L.
mountain laurel,Kalmia latifolia L.
trailing lespedeza,Lespedeza procumbens Michx.
woodland flax,Linum virginianum L.
trumpet honeysuckle,Lonicera sempervirens L.
lowland yellow loosestrife,Lysimachia hybrida Michx.